iter	RMSE
0	380.2622557
1	362.0492387
2	345.6977119
3	329.5315035
4	317.4241616
5	304.8229456
6	290.9173337
7	281.0028439
8	270.0668463
9	260.5236987
10	249.2542924
11	241.4612671
12	234.2028531
13	227.407023
14	221.0152181
15	215.9953051
16	210.4712368
17	206.5767473
18	201.5252891
19	197.1599082
20	192.7490277
21	188.8826328
22	185.1178128
23	182.8165543
24	180.1187832
25	177.465742
26	174.797728
27	173.1008839
28	171.2189988
29	168.5077895
30	166.9267907
31	164.4426823
32	162.8259034
33	161.2498443
34	159.2337623
35	157.218553
36	156.7393322
37	154.7210211
38	153.9278267
39	153.342746
40	150.9547481
41	149.4038634
42	147.9047649
43	146.8123845
44	146.4749738
45	145.3367906
46	144.0671135
47	142.4970119
48	142.0137415
49	140.4304463
50	139.3060248
51	138.5046008
52	135.7317173
53	134.2135986
54	133.8162075
55	131.9429788
56	130.6423705
57	128.9310629
58	128.2987467
59	127.6365977
60	127.0641546
61	126.545505
62	124.9738638
63	123.9191157
64	123.5212532
65	123.0065576
66	122.0127871
67	121.3790246
68	119.5775571
69	118.3077849
70	116.0523455
71	115.3407061
72	113.6153128
73	112.8272371
74	110.5574055
75	108.3628334
76	106.3626573
77	105.3640845
78	104.2878921
79	102.5329105
80	102.2002758
81	100.8838945
82	99.49191718
83	99.21501855
84	97.44913546
85	95.8778657
86	94.88319389
87	93.69755346
88	92.88069456
89	92.41740695
90	92.14260667
91	91.62774698
92	90.51661624
93	89.90738885
94	88.12678452
95	87.11919692
96	85.94318318
97	85.23539972
98	84.71359166
99	84.09646004
100	82.94349773
101	82.74237876
102	81.56997048
103	81.29922061
104	80.82781777
105	80.68386091
106	79.40618444
107	79.14561778
108	78.04216254
109	76.68886464
110	76.01044607
111	75.86552839
112	75.43847979
113	74.52550976
114	74.31479592
115	72.88994034
116	71.92873367
117	71.77657545
118	71.12896543
119	70.61978571
120	69.02746046
121	68.11355571
122	68.01227675
123	66.56244946
124	65.8361194
125	65.72938552
126	65.00553624
127	64.22624567
128	63.37068992
129	62.36945323
130	61.42031879
131	60.71156308
132	60.59955004
133	59.93474408
134	59.22330286
135	58.47328778
136	57.82508141
137	56.7389414
138	56.00399874
139	55.88157759
140	55.78372171
141	55.69906486
142	55.10944558
143	54.15927956
144	53.98645799
145	53.3450594
146	53.0086016
147	52.23329738
148	51.94016505
149	51.23271349
150	51.17403984
151	50.66785071
152	50.02227168
153	49.19805239
154	49.13672396
155	48.97237681
156	48.43594734
157	47.41476974
158	46.79651698
159	45.99990294
160	45.72080134
161	44.88700872
162	44.82206622
163	44.50962946
164	44.20672688
165	43.841259
166	43.33208086
167	42.94751879
168	42.86650823
169	42.81772706
170	42.59395389
171	41.98287323
172	41.72651071
173	41.10979821
174	40.6344569
175	40.31280343
176	40.17072888
177	39.73231899
178	39.16971402
179	38.53651261
180	38.16824482
181	38.13172428
182	37.65882109
183	37.12032652
184	37.07841726
185	37.03721035
186	36.44073761
187	35.75643791
188	35.38626081
189	35.02222285
190	34.61937367
191	34.01428113
192	33.63644597
193	33.42272307
194	32.92963535
195	32.4939407
196	32.46559042
197	32.1078174
198	31.72097747
199	31.69276495
200	31.61760599
201	31.58490071
202	31.51162947
203	31.1877338
204	30.82306259
205	30.58253232
206	30.38302274
207	29.96906886
208	29.89571972
209	29.79082196
210	29.75361536
211	29.58357796
212	29.56738833
213	29.20978535
214	28.92376697
215	28.75922501
216	28.6796425
217	28.4163677
218	28.18627282
219	27.91222722
220	27.73725882
221	27.41373611
222	27.24283611
223	27.08191081
224	26.7908734
225	26.33698767
226	26.16584044
227	26.00184516
228	25.61934834
229	25.34089047
230	25.09345837
231	24.93840411
232	24.77822336
233	24.46452251
234	24.07330379
235	24.04081433
236	24.02343285
237	23.95804144
238	23.92721062
239	23.59261623
240	23.52128556
241	23.33684274
242	23.16029526
243	22.65293536
244	22.55794532
245	22.2452115
246	21.9831643
247	21.7112999
248	21.47457647
249	21.29430619
250	21.22190671
251	20.96209083
252	20.5456701
253	20.34308604
254	20.22833407
255	20.01297012
256	19.99613177
257	19.92199834
258	19.8875979
259	19.67428939
260	19.57883577
261	19.42152639
262	19.35679127
263	19.31736879
264	19.07709567
265	18.89024184
266	18.56508887
267	18.34647252
268	18.23840117
269	18.07875418
270	17.81166251
271	17.62107984
272	17.60480541
273	17.48493985
274	17.37224659
275	17.17292441
276	16.89479502
277	16.67142893
