iter	Passed	Remaining
0	8	4021
1	20	4991
2	28	4662
3	36	4584
4	42	4209
5	49	4043
6	59	4178
7	72	4487
8	81	4445
9	87	4310
10	94	4206
11	100	4089
12	110	4139
13	122	4263
14	133	4308
15	144	4384
16	155	4421
17	168	4511
18	181	4586
19	188	4530
20	198	4533
21	207	4511
22	215	4478
23	222	4407
24	229	4360
25	234	4282
26	240	4211
27	247	4174
28	257	4176
29	266	4174
30	274	4155
31	282	4133
32	305	4323
33	313	4293
34	318	4228
35	323	4164
36	328	4115
37	333	4060
38	339	4016
39	345	3970
40	350	3920
41	357	3897
42	363	3858
43	369	3829
44	375	3799
45	381	3766
46	388	3744
47	394	3715
48	400	3682
49	409	3684
50	417	3671
51	424	3655
52	430	3632
53	437	3615
54	443	3584
55	448	3557
56	456	3546
57	463	3529
58	470	3515
59	475	3489
60	481	3462
61	489	3460
62	496	3443
63	503	3428
64	508	3406
65	514	3384
66	521	3368
67	528	3356
68	535	3348
69	542	3334
70	549	3321
71	557	3314
72	564	3304
73	572	3293
74	578	3278
75	586	3273
76	593	3261
77	602	3257
78	608	3243
79	615	3232
80	623	3224
81	630	3216
82	639	3210
83	648	3212
84	653	3192
85	660	3181
86	668	3171
87	673	3153
88	678	3135
89	685	3122
90	695	3126
91	703	3118
92	713	3121
93	720	3109
94	727	3099
95	733	3088
96	739	3074
97	747	3067
98	753	3051
99	758	3035
100	765	3024
101	774	3022
102	783	3020
103	793	3022
104	801	3016
105	807	3002
106	814	2990
107	820	2977
108	830	2980
109	838	2973
110	847	2969
111	853	2956
112	863	2956
113	871	2951
114	878	2942
115	884	2929
116	891	2916
117	899	2913
118	908	2909
119	917	2905
120	926	2902
121	935	2897
122	948	2908
123	961	2915
124	968	2905
125	978	2903
126	985	2894
127	992	2884
128	998	2872
129	1006	2865
130	1013	2856
131	1019	2843
132	1026	2832
133	1033	2823
134	1048	2835
135	1076	2881
136	1095	2903
137	1112	2917
138	1122	2915
139	1132	2912
140	1145	2916
141	1153	2907
142	1160	2896
143	1164	2880
144	1174	2874
145	1180	2863
146	1192	2863
147	1198	2851
148	1206	2842
149	1211	2827
150	1217	2813
151	1224	2803
152	1229	2789
153	1234	2773
154	1239	2758
155	1244	2744
156	1250	2731
157	1256	2720
158	1262	2707
159	1268	2695
160	1273	2681
161	1278	2667
162	1283	2654
163	1289	2642
164	1294	2629
165	1300	2617
166	1305	2603
167	1311	2591
168	1316	2579
169	1323	2569
170	1333	2565
171	1339	2554
172	1346	2544
173	1351	2531
174	1356	2519
175	1361	2507
176	1367	2495
177	1372	2482
178	1377	2470
179	1382	2458
180	1387	2446
181	1392	2433
182	1398	2422
183	1403	2409
184	1407	2396
185	1413	2385
186	1418	2374
187	1423	2362
188	1428	2350
